,Unnamed: 0,Name,Style,StyleID,ABV,IBU,Color,Simple_style,Style_color,Style_ibu
4945,7180,Maple Sap Porter,Robust Porter,129,7.57,35.3,42.66,Stout/Porter,5,4
4266,6157,Belgian hoppy tripel,Belgian Tripel,26,12.23,30.0,7.13,Pale Ale,2,5
25098,39736,New Sour 5 gallon,Berliner Weisse,27,5.21,16.83,3.92,Wheat,0,0
25228,39954,Ye Olde Barleynipple,English Barleywine,63,10.05,77.56,19.74,Strong Ale,3,3
28434,45156,F1S Lagunitas IPA 10.21.16,American IPA,7,6.28,90.0,13.9,Pale Ale,2,5
37636,60031,Based Porter,English Porter,66,5.61,24.13,24.78,Stout/Porter,5,4
13834,21402,Søggæns lyse øl med Mjødurtblomst,Blonde Ale,30,5.12,25.74,5.67,Pale Lager/Blonde Ale,1,1
44571,71490,New Truly 01,German Pils,80,4.46,28.0,3.98,Pale Lager/Blonde Ale,1,1
43761,70151,Brown Bruin (30 Year),British Brown Ale,34,9.72,90.63,39.13,Brown Ale,4,2
13089,20207,Dead Cossack,Russian Imperial Stout,132,12.44,27.82,50.0,Stout/Porter,5,4
6127,9052,APA Marco,American Pale Ale,10,5.63,40.15,9.44,Pale Ale,2,5
7864,11875,Dos equis/tsingtao/corona fusion,International Pale Lager,90,4.49,24.74,4.05,Pale Lager/Blonde Ale,1,1
3687,5303,Nates' Honest Ale,American Pale Ale,10,4.64,38.23,11.65,Pale Ale,2,5
15914,24715,Elevated IPA,American IPA,7,6.53,93.96,6.51,Pale Ale,2,5
41122,65722,I-Pier-A (2),American IPA,7,6.6,85.96,6.29,Pale Ale,2,5
25747,40807,Orange Blossom Barley Wine,American Barleywine,5,10.46,100.0,16.24,Strong Ale,3,3
18612,29101,Millennium Falconer's Flight,American IPA,7,7.21,68.74,6.09,Pale Ale,2,5
13321,20586,Gashley's Catastrophy,Imperial IPA,86,8.83,95.78,6.03,Pale Ale,2,5
7123,10668,Brown mild w/munich brewed 04-05-2014,Southern English Brown,143,3.79,18.37,29.81,Brown Ale,4,2
43309,69403,Fat Earl Clone,German Pilsner (Pils),81,4.51,28.0,6.0,Pale Lager/Blonde Ale,1,1
15709,24369,LDV,Imperial Stout,87,10.47,81.44,50.0,Stout/Porter,5,4
40155,64158,Batch #5 Wit Jul speidel 50,Witbier,175,5.5,30.0,6.0,Wheat,0,0
8385,12712,Weiss beer,Weizen/Weissbier,170,4.95,10.52,3.68,Wheat,0,0
35117,55990,#28 Orange Wheat,Weizen/Weissbier,170,4.72,16.43,5.97,Wheat,0,0
13154,20307,Shop Smart  Shop S-Mart,American Wheat Beer,14,6.77,30.0,4.82,Wheat,0,0
28846,45802,Dry stout Mississippi,Dry Stout,58,4.34,32.46,25.86,Stout/Porter,5,4
37165,59249,Hoppy Honey Wheat,American Wheat Beer,14,5.08,26.53,6.0,Wheat,0,0
17554,27353,IPL,International Pale Lager,90,6.4,28.0,6.0,Pale Lager/Blonde Ale,1,1
24155,38187,Holiday Stout,American Stout,12,6.46,28.2,47.9,Stout/Porter,5,4
5794,8540,Blonde Ale pils !!!,Blonde Ale,30,4.59,18.43,4.15,Pale Lager/Blonde Ale,1,1
10260,15720,White House Honey Ale II,American Amber Ale,4,5.66,32.4,13.17,Pale Ale,2,5
41667,66632,Ray Witbier,Witbier,175,5.55,14.98,3.17,Wheat,0,0
3047,4359,RUDY 102,Double IPA,56,8.31,90.0,8.71,Pale Ale,2,5
36319,57926,Deepwater Hop Blob 2.5,Double IPA,56,7.74,90.0,6.9,Pale Ale,2,5
21670,34086,Free Style American IPA,American IPA,7,6.36,68.2,9.84,Pale Ale,2,5
20986,32966,Panimon I Pale Ale,American Pale Ale,10,5.14,47.59,6.75,Pale Ale,2,5
2441,3459,Dubbel or Do Not (there is no rye),Belgian Dubbel,22,7.14,26.89,22.0,Strong Ale,3,3
33864,53983,Middle Coast Ripper IPA,American IPA,7,6.26,70.91,6.7,Pale Ale,2,5
24659,39012,Jean Claude Van Dammmmmnnn!,Belgian Golden Strong Ale,23,7.71,53.51,3.73,Strong Ale,3,3
6392,9472,Ma nouère,Foreign Extra Stout,72,6.47,64.25,33.49,Stout/Porter,5,4
35716,56963,El DoubleRado,Imperial IPA,86,7.84,90.0,11.23,Pale Ale,2,5
23591,37243,Nø Imperial stout,Dry Stout,58,7.48,56.62,50.0,Stout/Porter,5,4
12110,18677,Brewer Too Damn High,American Amber Ale,4,6.85,90.0,11.67,Pale Ale,2,5
12607,19447,Ægir Vetlebror,American Pale Ale,10,4.77,39.1,5.64,Pale Ale,2,5
41502,66356,Trij? velni? IPA,American IPA,7,7.36,90.01,8.76,Pale Ale,2,5
33294,53072,Doppler Shift Belgian IPA,Specialty IPA: Belgian IPA,147,7.0,84.74,8.62,Pale Ale,2,5
35663,56884,Summer Squirt,Weissbier,169,5.06,15.12,4.22,Wheat,0,0
5016,7290,Thai Stick 2.0,American IPA,7,7.27,90.0,6.22,Pale Ale,2,5
31895,50835,Rick pale ale,American Pale Ale,10,5.41,90.0,5.78,Pale Ale,2,5
25584,40550,Velvetine,Sweet Stout,162,5.41,23.41,33.43,Stout/Porter,5,4
31950,50923,7BBL Jerrod Amber ale,American Amber Ale,4,5.2,30.41,12.76,Pale Ale,2,5
22943,36222,IPA #1 (20 L),American IPA,7,6.06,62.35,6.35,Pale Ale,2,5
37956,60548,The Big DIPA w/ Conan,Double IPA,56,8.1,87.18,6.76,Pale Ale,2,5
11237,17321,Euro Pils,German Pilsner (Pils),81,5.05,28.0,4.12,Pale Lager/Blonde Ale,1,1
14117,21856,Yule Grog Pale,American Pale Ale,10,6.12,43.78,6.06,Pale Ale,2,5
45054,72255,Herding Cats,American IPA,7,6.36,90.0,5.57,Pale Ale,2,5
44789,71825,Test Pils,International Pale Lager,90,5.65,25.08,3.86,Pale Lager/Blonde Ale,1,1
9708,14881,Shomonkai Ale,Cream Ale,45,5.03,16.41,3.21,Pale Lager/Blonde Ale,1,1
21739,34196,Batch 3 - IPA,American IPA,7,6.53,43.9,6.03,Pale Ale,2,5
26590,42137,Chai IPA,American IPA,7,7.27,90.0,9.49,Pale Ale,2,5
28061,44542,Belgian Bulge,Belgian Dubbel,22,7.4,22.12,13.56,Strong Ale,3,3
35542,56700,Winter Harvest  Spring Feast Nut Brown Ale...,Northern English Brown,113,5.0,32.22,15.45,Brown Ale,4,2
12148,18739,Femto APA Centennial,American Pale Ale,10,4.66,42.54,5.0,Pale Ale,2,5
17311,26978,Quatre vingt dix,Belgian Golden Strong Ale,23,9.31,24.09,5.61,Strong Ale,3,3
29136,46273,Cleanse beer 17 - revised,American IPA,7,6.9,63.51,11.11,Pale Ale,2,5
32438,51710,IPA IX,American IPA,7,6.74,67.01,7.4,Pale Ale,2,5
19573,30654,Spitfireish Cream Ale,English IPA,65,6.25,53.5,15.0,Pale Ale,2,5
13841,21413,American strong ale,American Strong Ale,13,8.59,95.3,19.72,Strong Ale,3,3
19224,30082,Ballast Point Sculpin IPA,American IPA,7,7.27,90.19,7.17,Pale Ale,2,5
28397,45093,Gerald's Saison,Saison,134,6.32,30.0,5.28,Pale Ale,2,5
12372,19080,Appalachian Saison IV,Saison,134,6.55,30.0,5.0,Pale Ale,2,5
16094,25001,10G Kölsch,Cream Ale,45,5.26,16.99,5.43,Pale Lager/Blonde Ale,1,1
23378,36930,Swing Set IPA,American IPA,7,6.08,39.24,7.62,Pale Ale,2,5
21504,33824,Surfing in Waimea IPA 22,American IPA,7,5.52,52.01,7.85,Pale Ale,2,5
36968,58935,Fools Bock,Munich Helles,109,6.4,25.71,5.99,Pale Lager/Blonde Ale,1,1
41336,66074,Cascade enhumle,American Pale Ale,10,4.64,39.47,5.0,Pale Ale,2,5
12843,19824,Strong Bitter,Strong Bitter,159,5.29,43.13,15.0,Pale Ale,2,5
43367,69504,DDH IPA,American IPA,7,7.34,89.36,15.0,Pale Ale,2,5
14917,23142,Gautøl - Nutty Brown Ale,American Brown Ale,6,5.24,39.44,23.15,Brown Ale,4,2
39705,63406,C-MAC,American IPA,7,7.59,65.72,5.51,Pale Ale,2,5
20847,32733,I Dream of Jenny Cream Ale,Cream Ale,45,5.99,20.8,3.29,Pale Lager/Blonde Ale,1,1
27779,44093,Checkmate Pale Ale,American IPA,7,5.59,41.66,6.66,Pale Ale,2,5
22848,36073,Death of Saisons,Saison,134,7.67,33.39,5.0,Pale Ale,2,5
127,160,Golden Challenge,British Golden Ale,35,5.37,28.0,6.0,Pale Lager/Blonde Ale,1,1
28025,44479,12-Gallon Lawnmower,Cream Ale,45,6.29,28.0,3.86,Pale Lager/Blonde Ale,1,1
36642,58429,Strazacka Gold,Blonde Ale,30,4.99,28.0,5.94,Pale Lager/Blonde Ale,1,1
24012,37954,Dirty trousers,American Pale Ale,10,6.24,40.73,6.12,Pale Ale,2,5
37589,59954,Atom Ale,American Pale Ale,10,5.71,30.0,8.81,Pale Ale,2,5
37401,59647,Orange Crush,American Pale Ale,10,2.53,97.56,5.0,Pale Ale,2,5
1572,2207,Old Monster,American Barleywine,5,11.34,100.0,21.76,Strong Ale,3,3
6657,9899,Rusty Claymore,Strong Scotch Ale,160,6.48,39.81,15.86,Strong Ale,3,3
43401,69559,The Jetty Rat (JR),American IPA,7,4.49,61.59,6.62,Pale Ale,2,5
7118,10661,First Grainfather Brew,Belgian Blond Ale,20,6.4,28.0,4.35,Pale Lager/Blonde Ale,1,1
10359,15859,Mosaic Honey Wheat,American Wheat Beer,14,5.46,16.46,6.0,Wheat,0,0
41996,67165,Gummy Shark Attack (GSA),American Amber Ale,4,6.17,44.43,12.83,Pale Ale,2,5
31828,50720,Var Trois IPA,American IPA,7,7.48,65.19,12.21,Pale Ale,2,5
26053,41276,Case: iDrinkDankAllDay IPA,American IPA,7,5.29,51.09,5.35,Pale Ale,2,5
45650,73251,DDH Pale Galaxy Mosaic,American Pale Ale,10,5.5,37.82,9.06,Pale Ale,2,5
41123,65723,Lakeshore House Session Lager,International Pale Lager,90,4.33,20.78,6.0,Pale Lager/Blonde Ale,1,1
40330,64444,Lairpaloosa Blonde Ale,Blonde Ale,30,5.43,28.0,5.24,Pale Lager/Blonde Ale,1,1
25042,39645,Kipling Clone,American Pale Ale,10,5.24,37.77,5.66,Pale Ale,2,5
29797,47334,Citra Otter SMaSH IPA (CSM),American IPA,7,7.16,51.37,7.69,Pale Ale,2,5
25334,40126,Speidel IPA,American IPA,7,6.27,97.52,5.0,Pale Ale,2,5
841,1146,New Albion Ale Clone,American Pale Ale,10,5.14,30.0,5.0,Pale Ale,2,5
16367,25442,Buckwild Celebration Ale - 10G,American IPA,7,6.68,66.2,12.85,Pale Ale,2,5
40223,64270,Bitter V1,Strong Bitter,159,5.49,45.59,13.75,Pale Ale,2,5
19102,29886,#29 - French Saison w/ Strisselspalt hops...,Saison,134,6.15,30.0,5.0,Pale Ale,2,5
27783,44099,Two Path Summer Ale version 2,American Pale Ale,10,4.62,62.77,5.0,Pale Ale,2,5
13108,20235,Grape Bot for Lady Bot,American Pale Ale,10,6.07,30.0,5.63,Pale Ale,2,5
2678,3826,Ron's Imperial IPA,Imperial IPA,86,8.0,90.0,15.0,Pale Ale,2,5
14913,23136,Sasion,Saison,134,5.39,30.0,5.82,Pale Ale,2,5
4977,7232,Cascade Single Hop Ale (8 weeks),American Pale Ale,10,5.03,40.78,10.8,Pale Ale,2,5
38456,61368,American Imperial IPA com rapadura orgânica Guaií,Imperial IPA,86,8.38,82.11,10.22,Pale Ale,2,5
24761,39183,Nya Västkustens IPA,American IPA,7,5.94,51.72,5.0,Pale Ale,2,5
34327,54725,Takomo IPA II,American IPA,7,6.5,54.57,6.77,Pale Ale,2,5
30785,48973,David's Hefeweizen,Weissbier,169,5.0,14.66,5.23,Wheat,0,0
4565,6573,Hannah's Birthday Stout,American Stout,12,5.67,34.96,38.98,Stout/Porter,5,4
17294,26950,USS Missouri,American Pale Ale,10,5.61,40.05,9.46,Pale Ale,2,5
32881,52407,Concussed Wheat,Weissbier,169,5.86,16.91,4.15,Wheat,0,0
32862,52385,Extract centennial pale,British Golden Ale,35,4.48,28.0,6.0,Pale Lager/Blonde Ale,1,1
34835,55539,Lasses Amber,American Amber Ale,4,5.44,31.23,11.92,Pale Ale,2,5
24733,39137,Bjorn in the USA IPA,American IPA,7,5.97,68.74,14.12,Pale Ale,2,5
21750,34212,Anniversary Vanilla Porter,Robust Porter,129,5.35,52.3,27.59,Stout/Porter,5,4
23657,37347,American honey 2,American Pale Ale,10,4.57,36.84,5.0,Pale Ale,2,5
36016,57440,Carpe de Ingredients,American Pale Ale,10,6.61,33.13,5.0,Pale Ale,2,5
13144,20288,All Grain Amber,American Amber Ale,4,5.83,31.66,11.12,Pale Ale,2,5
18094,28233,Oberon,American Wheat Beer,14,5.24,23.97,5.88,Wheat,0,0
27512,43638,Comaradarie Kölsch,Kölsch,94,4.98,21.39,3.17,Pale Lager/Blonde Ale,1,1
4406,6359,RyeWorts Pale Ale (EdWort'sHaus Pale Ale)...,American Pale Ale,10,5.42,40.69,5.0,Pale Ale,2,5
20442,32089,Goldings Bitter,Extra Special/Strong Bitter (ESB),68,6.04,35.71,8.03,Pale Ale,2,5
10876,16697,Amarillo Cascade Pale,American Pale Ale,10,6.24,54.87,11.69,Pale Ale,2,5
3456,4959,Detourne clone,Belgian Tripel,26,10.53,54.7,6.05,Pale Ale,2,5
712,967,Beer Coasters Podcast - Shot in the Rye,American Pale Ale,10,5.74,37.77,5.88,Pale Ale,2,5
39630,63280,Summer Wheat 2.0 (3 Gallon Carboy),American Wheat Beer,14,5.07,22.71,5.81,Wheat,0,0
9897,15170,Vanilla Cinnamon Porter,Robust Porter,129,11.48,90.0,42.59,Stout/Porter,5,4
25349,40145,Rye Redux,American Pale Ale,10,5.73,41.96,9.66,Pale Ale,2,5
45272,72594,Beatties Barleywine,American Barleywine,5,12.88,84.33,14.65,Strong Ale,3,3
19220,30077,License to Swill II,American IPA,7,6.22,85.19,5.0,Pale Ale,2,5
44909,72022,Trappist Style Quad,Belgian Dark Strong Ale,21,9.55,30.99,22.0,Strong Ale,3,3
15965,24794,Gulating Kølsch,Kölsch,94,5.08,25.08,3.41,Pale Lager/Blonde Ale,1,1
17317,26990,Summer Bloody Summer,American Amber Ale,4,6.57,36.73,7.49,Pale Ale,2,5
24758,39180,Quad v1,Belgian Dark Strong Ale,21,9.79,22.02,22.0,Strong Ale,3,3
43953,70475,Outer rim ale - session IPA,American Pale Ale,10,4.87,42.88,5.33,Pale Ale,2,5
33852,53962,BlondALE,Blonde Ale,30,5.08,15.0,5.99,Pale Lager/Blonde Ale,1,1
35994,57411,Equinox Blonde,Blonde Ale,30,4.96,27.73,4.36,Pale Lager/Blonde Ale,1,1
37103,59162,Mango Wit,Witbier,175,5.37,6.59,4.94,Wheat,0,0
36066,57516,Party Gyle asi,American Light Lager,9,6.16,28.0,6.0,Pale Lager/Blonde Ale,1,1
19261,30143,German Helles Export,German Helles Exportbier,78,5.88,24.22,5.21,Pale Lager/Blonde Ale,1,1
31536,50243,Pink Panther Raspberry Sour Blonde Ale,Blonde Ale,30,5.28,18.85,6.0,Pale Lager/Blonde Ale,1,1
39741,63464,Noble Peach Beer LBK,American Light Lager,9,6.03,17.15,6.0,Pale Lager/Blonde Ale,1,1
19594,30683,#76 Oatmeal American Pale Ale,American Pale Ale,10,4.49,36.32,5.0,Pale Ale,2,5
39275,62699,Bad Moon #2,British Brown Ale,34,5.08,25.09,14.5,Brown Ale,4,2
32311,51505,Wsp Robust Porter,Robust Porter,129,6.34,38.47,32.51,Stout/Porter,5,4
22039,34722,Sirkus hest,Saison,134,5.29,30.0,5.0,Pale Ale,2,5
15011,23280,Exuro Hazelnut Chocolate Porter,Brown Porter,37,6.48,24.92,40.0,Stout/Porter,5,4
35441,56531,Black Widow Porter,American Porter,11,6.95,44.42,34.43,Stout/Porter,5,4
38657,61690,Hefe-weizen,Weissbier,169,5.28,13.36,3.24,Wheat,0,0
33925,54092,AIH Belgian White,Witbier,175,5.26,13.05,3.37,Wheat,0,0
40839,65273,Lemonhead Sour,Berliner Weisse,27,5.24,30.0,4.25,Wheat,0,0
35341,56347,Takomo Bitter III,Best Bitter,28,4.58,34.1,11.27,Pale Ale,2,5
18876,29511,Mat 2,American Brown Ale,6,5.45,33.86,22.1,Brown Ale,4,2
32653,52047,Trondheim Golf- og Bryggelaugs IPA,American IPA,7,7.16,33.1,6.47,Pale Ale,2,5
1221,1699,Bakke Brygg IPA ekstrakt 25L,American IPA,7,6.62,73.23,7.58,Pale Ale,2,5
18896,29545,Pumpkin Ale 2,Blonde Ale,30,6.4,22.35,6.0,Pale Lager/Blonde Ale,1,1
5038,7323,The Bruery's Black Orchard Wit,Witbier,175,5.37,9.81,6.0,Wheat,0,0
38774,61886,Straight cascade,American IPA,7,6.28,30.0,5.0,Pale Ale,2,5
23604,37264,IPA II,American IPA,7,6.05,56.76,7.0,Pale Ale,2,5
42170,67456,French Damson v2,Belgian Dark Strong Ale,21,6.9,22.39,17.98,Strong Ale,3,3
6679,9941,FBTCZECHBEER,Czech Premium Pale Lager,50,6.4,28.0,6.0,Pale Lager/Blonde Ale,1,1
32707,52149,Flattop Rye Pale Ale,American Pale Ale,10,6.41,41.82,5.69,Pale Ale,2,5
15308,23727,YCH Hop IPA,American IPA,7,7.01,65.54,6.07,Pale Ale,2,5
34473,54953,Framboise Witbier,Witbier,175,4.59,18.28,3.42,Wheat,0,0
31437,50065,Tropical Hopical,American IPA,7,6.59,60.22,8.3,Pale Ale,2,5
22826,36032,American Lager - 2206,American Lager,8,4.92,17.35,3.12,Pale Lager/Blonde Ale,1,1
22140,34907,Insolent Bastard,American Amber Ale,4,6.9,90.0,7.44,Pale Ale,2,5
41618,66554,Sun Will Shine,Saison,134,5.79,30.0,5.99,Pale Ale,2,5
17456,27205,Wit Walker,Witbier,175,5.12,13.06,4.67,Wheat,0,0
25866,40984,Pat's American brown ale,American Brown Ale,6,5.25,48.66,33.53,Brown Ale,4,2
28540,45324,New Atlantis ESB,Strong Bitter,159,4.84,41.32,12.04,Pale Ale,2,5
38203,60951,Sunny Blond,Blonde Ale,30,5.86,25.18,3.76,Pale Lager/Blonde Ale,1,1
4911,7121,Double Chocolate Porter,Imperial Stout,87,8.07,25.31,39.87,Stout/Porter,5,4
31426,50048,Sunburned Pale Ale,American IPA,7,5.59,64.09,7.42,Pale Ale,2,5
20443,32090,Flodden Hefe,Weissbier,169,6.13,25.49,4.47,Wheat,0,0
16248,25232,Bavarian Mandarina Lager,International Pale Lager,90,5.34,28.0,4.98,Pale Lager/Blonde Ale,1,1
37322,59513,Africale,American Light Lager,9,4.82,21.53,3.92,Pale Lager/Blonde Ale,1,1
38517,61456,Bakke Brygg Double Stout 20 l,Russian Imperial Stout,132,7.67,57.24,40.0,Stout/Porter,5,4
25505,40420,Mike,American Amber Ale,4,7.6,71.94,15.0,Pale Ale,2,5
43787,70195,Citrasaic NEIPA Split Batch Keg Ferment,American IPA,7,5.44,53.34,5.0,Pale Ale,2,5
3176,4557,Sunny D-Lite Session IPA,American IPA,7,4.61,42.38,5.55,Pale Ale,2,5
28046,44516,Mark's Massive Stout,Oatmeal Stout,114,5.01,30.11,31.86,Stout/Porter,5,4
27100,42955,BrewChef Hop Fiction 25L  GF edition,American Light Lager,9,5.03,28.0,5.15,Pale Lager/Blonde Ale,1,1
37695,60127,Super Structure IPA,American IPA,7,6.51,63.26,5.67,Pale Ale,2,5
2471,3507,BROWN ALE NELSON SAUVIN (Came out perfect)....,American Brown Ale,6,5.33,27.83,19.67,Brown Ale,4,2
21728,34178,Lefty Milk Stout,Sweet Stout,162,5.79,40.34,36.78,Stout/Porter,5,4
17930,27973,JT American Golden,British Golden Ale,35,6.04,28.0,6.0,Pale Lager/Blonde Ale,1,1
24750,39163,Dragons Milk,Imperial Stout,87,10.1,36.15,40.36,Stout/Porter,5,4
32164,51287,DIYDOG Hobo Pop,American Light Lager,9,4.32,28.0,6.0,Pale Lager/Blonde Ale,1,1
26305,41678,No9 Ultra Bitter11,Ordinary Bitter,118,5.71,30.0,15.0,Pale Ale,2,5
31206,49683,IPA Mosaic Singel Hop,American IPA,7,6.45,48.31,8.41,Pale Ale,2,5
22204,35004,Arch Rock Amber,American Amber Ale,4,6.03,46.49,15.0,Pale Ale,2,5
1455,2037,Strong Belgian Duvel Clone #1,Belgian Golden Strong Ale,23,8.14,48.85,7.38,Strong Ale,3,3
34923,55685,WeissWheat,Weissbier,169,4.43,11.29,3.92,Wheat,0,0
18513,28938,EdWort's Bavarian Hefeweizen,Weizen/Weissbier,170,5.56,11.81,3.67,Wheat,0,0
23278,36752,Urquell Clone,German Pilsner (Pils),81,4.88,28.0,3.3,Pale Lager/Blonde Ale,1,1
39102,62414,Blonde belge,Blonde Ale,30,3.98,14.63,3.11,Pale Lager/Blonde Ale,1,1
38438,61345,Nates BDay beer 2017 (Mosaic madness),Double IPA,56,7.94,90.0,13.51,Pale Ale,2,5
34691,55307,Tea pale ale,Strong Bitter,159,4.99,30.0,8.42,Pale Ale,2,5
19883,31146,Catty's first cwistmas 11/11/16,American Light Lager,9,6.02,24.34,6.0,Pale Lager/Blonde Ale,1,1
15769,24462,Brown Belgian Ale,Belgian Pale Ale,24,5.36,30.0,7.25,Pale Ale,2,5
11198,17256,Hop-Fu,American IPA,7,7.16,90.0,5.0,Pale Ale,2,5
29753,47268,Found a porter,American Porter,11,6.18,50.16,33.33,Stout/Porter,5,4
10580,16213,Orange Blossom Saison,Saison,134,6.09,30.0,5.0,Pale Ale,2,5
25627,40619,Tie Fighter,American Pale Ale,10,5.55,34.29,9.9,Pale Ale,2,5
35939,57323,American Brown AG,American Brown Ale,6,4.62,38.2,27.55,Brown Ale,4,2
43640,69950,APA Orange,American Pale Ale,10,6.14,35.89,10.22,Pale Ale,2,5
28299,44920,Plumbers Beer,Ordinary Bitter,118,4.15,34.56,5.74,Pale Ale,2,5
19461,30468,Drowned Rat Ginger 2,American Amber Ale,4,6.6,37.64,12.51,Pale Ale,2,5
23288,36772,Hazen Scottish,Strong Scotch Ale,160,6.0,32.32,18.81,Strong Ale,3,3
4461,6426,Brown Bag Special,American Brown Ale,6,5.0,23.54,23.54,Brown Ale,4,2
39103,62415,Possum Porter,American Porter,11,5.46,28.54,32.3,Stout/Porter,5,4
8387,12715,Blonde ale,Blonde Ale,30,5.12,26.25,4.21,Pale Lager/Blonde Ale,1,1
44507,71395,NEipa,American IPA,7,5.51,44.33,5.0,Pale Ale,2,5
10714,16430,Blonde Bitch,Blonde Ale,30,6.4,28.0,4.93,Pale Lager/Blonde Ale,1,1
32028,51064,Wheeler/Exmoor,British Golden Ale,35,4.46,28.0,4.95,Pale Lager/Blonde Ale,1,1
28119,44625,Lunch Clone,American IPA,7,8.0,63.97,7.6,Pale Ale,2,5
3382,4860,Easy Rye APA,American Pale Ale,10,5.48,37.44,9.47,Pale Ale,2,5
10080,15444,Crimson King Imperial IPA,Imperial IPA,86,8.84,90.0,15.0,Pale Ale,2,5
8664,13146,Bakke Smash Citra,American IPA,7,6.04,69.72,5.0,Pale Ale,2,5
37891,60444,Lagerish 001,International Pale Lager,90,4.41,23.19,4.0,Pale Lager/Blonde Ale,1,1
8688,13182,Witever,Witbier,175,4.74,17.86,3.62,Wheat,0,0
34966,55748,Spotted Charlie House Bitter,Strong Bitter,159,4.77,30.78,11.27,Pale Ale,2,5
4320,6233,Bell's Best Brown Clone,American Brown Ale,6,5.64,1.72,19.93,Brown Ale,4,2
42017,67193,Straight BW,English Barleywine,63,14.5,56.77,17.69,Strong Ale,3,3
4222,6084,Too X IPA,Imperial IPA,86,8.52,90.0,9.99,Pale Ale,2,5
21036,33035,Mosiac double IPA,Double IPA,56,9.26,90.0,10.65,Pale Ale,2,5
10551,16168,Northern Brown Ale,British Brown Ale,34,5.93,24.33,12.63,Brown Ale,4,2
30812,49021,Back Yard Abbey Ale #1,Belgian Golden Strong Ale,23,7.51,53.42,5.56,Strong Ale,3,3
644,874,Muncher Helles,Munich Helles,109,5.04,21.82,4.54,Pale Lager/Blonde Ale,1,1
37242,59375,I Yam Who I Yam ESB,Strong Bitter,159,4.77,51.95,15.0,Pale Ale,2,5
16696,25979,Peace Coffee Stout,American Stout,12,6.81,41.55,37.75,Stout/Porter,5,4
1201,1669,"10 Gallon All Grain ""Three Blind Mice/Moose ...",American Brown Ale,6,6.29,47.8,38.13,Brown Ale,4,2
17249,26879,Porter 8 gal,American Porter,11,6.09,46.41,30.82,Stout/Porter,5,4
16358,25425,Conan Warrior Session Dark Ale,American IPA,7,4.27,90.0,15.0,Pale Ale,2,5
18377,28714,Saison light,Saison,134,4.48,30.0,5.0,Pale Ale,2,5
17345,27027,Golden Promise Saison,Saison,134,6.06,37.79,5.46,Pale Ale,2,5
31975,50963,MidsommarPA (MPA),American Pale Ale,10,5.26,41.21,5.0,Pale Ale,2,5
29724,47211,SweetChristmas,American Amber Ale,4,6.43,30.0,9.3,Pale Ale,2,5
8404,12744,Bakke Brygg American Stout 25 L,American Stout,12,6.51,66.56,45.68,Stout/Porter,5,4
43047,68973,HeberHaus Big Arse Barleywine,English Barleywine,63,11.74,83.85,22.0,Strong Ale,3,3
2724,3898,Ry-P.A.,American IPA,7,5.28,60.61,10.49,Pale Ale,2,5
27492,43604,Chocolate Orange,Robust Porter,129,6.45,43.64,28.13,Stout/Porter,5,4
41544,66430,Junior Blonde Ale,Blonde Ale,30,5.09,18.47,2.98,Pale Lager/Blonde Ale,1,1
29111,46234,Red Rye PA,American IPA,7,6.32,58.93,9.38,Pale Ale,2,5
32237,51396,Chinook IPA Northern Brewer Kit,American IPA,7,5.8,44.43,8.62,Pale Ale,2,5
35114,55985,Rosenhill saison,Saison,134,6.05,34.95,7.98,Pale Ale,2,5
2406,3409,Christmas Pyre,Imperial IPA,86,8.35,58.04,9.27,Pale Ale,2,5
29748,47259,Extract Pale Ale Centennial Amarillo,American Pale Ale,10,6.49,36.72,5.0,Pale Ale,2,5
36500,58216,American Dream Amber,American Amber Ale,4,6.09,66.73,15.0,Pale Ale,2,5
43798,70214,ESB Mosaic SMASH,American IPA,7,5.79,83.48,6.19,Pale Ale,2,5
5300,7726,Hopstache Black IPA II,American IPA,7,6.17,90.0,15.0,Pale Ale,2,5
32552,51898,Don't disturb,American Pale Ale,10,5.33,47.85,8.28,Pale Ale,2,5
22956,36241,Bsa,Belgian Blond Ale,20,6.4,17.53,6.0,Pale Lager/Blonde Ale,1,1
11215,17291,Malt IPA,American IPA,7,6.72,70.63,14.33,Pale Ale,2,5
38292,61101,PB&J Beer,American Brown Ale,6,2.81,18.89,12.94,Brown Ale,4,2
8898,13534,Dorada Monte,Blonde Ale,30,6.38,28.0,6.0,Pale Lager/Blonde Ale,1,1
5436,7960,Riverwards IPA,American IPA,7,7.34,35.36,5.0,Pale Ale,2,5
1127,1562,Clementine Wheat,American Wheat or Rye Beer,15,5.65,30.0,4.34,Wheat,0,0
5031,7315,Kwackers,Belgian Dark Strong Ale,21,8.08,20.0,9.03,Strong Ale,3,3
33454,53327,Smokey IPA,American IPA,7,7.01,90.0,15.0,Pale Ale,2,5
36365,57999,Summer rye pale ale,Blonde Ale,30,5.09,21.11,4.71,Pale Lager/Blonde Ale,1,1
8038,12158,R& C Vanilla Porter (Breck Clone),Robust Porter,129,5.57,38.75,32.05,Stout/Porter,5,4
7346,11039,Lampo Bianco,Witbier,175,4.19,18.13,3.63,Wheat,0,0
14508,22508,Founders All Day IPA - Session,American Pale Ale,10,4.64,38.51,7.93,Pale Ale,2,5
15163,23505,Hardcore Coco Night,Sweet Stout,162,7.32,18.82,50.0,Stout/Porter,5,4
